Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,85.040001,86.419998,84.919998,86.410004,1118200,86.410004
2017-04-13,84.370003,85.199997,84.339996,84.639999,1131900,84.639999
2017-04-12,85.010002,85.709999,84.029999,84.489998,873700,84.489998
2017-04-11,85.349998,85.989998,84.82,85.389999,939000,85.389999
2017-04-10,85.949997,86.389999,85.419998,85.529999,658300,85.529999
2017-04-07,85.900002,86.57,85.519997,86.019997,764800,86.019997
2017-04-06,85.75,86.419998,85.099998,86.190002,673600,86.190002
2017-04-05,85.989998,87.68,85.410004,85.660004,1410100,85.660004
2017-04-04,86.059998,87.379997,85.199997,85.290001,1176800,85.290001
2017-04-03,87.599998,88.360001,85.410004,86.220001,1249800,86.220001
2017-03-31,86.82,88.00,86.379997,87.470001,908000,87.470001
2017-03-30,87.440002,87.699997,86.809998,86.940002,771800,86.940002
2017-03-29,86.279999,87.879997,86.099998,87.610001,1438400,87.610001
2017-03-28,85.400002,86.370003,84.830002,86.00,940400,86.00
2017-03-27,84.239998,85.589996,83.419998,84.870003,906200,84.870003
2017-03-24,85.040001,85.690002,84.309998,84.809998,816900,84.809998
2017-03-23,85.120003,85.809998,84.129997,84.400002,856200,84.400002
2017-03-22,83.849998,85.190002,83.459999,85.040001,1418000,85.040001
2017-03-21,88.800003,89.00,83.790001,83.93,2401700,83.93
2017-03-20,88.849998,88.949997,87.75,88.110001,617400,88.110001
2017-03-17,89.050003,89.470001,88.510002,88.709999,1006900,88.709999
2017-03-16,88.790001,89.370003,88.489998,88.800003,902300,88.800003
2017-03-15,87.879997,88.769997,87.290001,88.410004,979800,88.410004
2017-03-14,88.489998,88.610001,86.68,87.470001,1140400,87.470001
2017-03-13,88.089996,88.860001,87.660004,88.639999,1289300,88.639999
2017-03-10,88.269997,88.589996,86.900002,88.029999,852500,88.029999
2017-03-09,87.309998,88.129997,86.389999,87.830002,888800,87.830002
2017-03-08,87.32,88.269997,86.980003,87.290001,789500,87.290001
2017-03-07,86.330002,87.690002,86.099998,87.059998,1471200,87.059998
2017-03-06,85.93,86.769997,85.559998,86.260002,1415300,86.260002
2017-03-03,86.029999,87.190002,86.010002,86.470001,1179100,86.470001
2017-03-02,89.089996,89.139999,86.239998,86.339996,1406400,86.339996
2017-03-01,88.019997,88.989998,86.739998,88.889999,3161000,88.889999
2017-02-28,87.220001,88.279999,86.82,86.919998,2165500,86.919998
2017-02-27,90.610001,90.610001,86.93,87.75,5580700,87.75
2017-02-24,91.599998,92.389999,90.660004,91.82,1038200,91.82
2017-02-23,93.360001,93.400002,91.410004,92.650002,832000,92.650002
2017-02-22,92.709999,93.669998,92.169998,92.980003,547700,92.980003
2017-02-21,93.019997,93.510002,92.169998,93.18,612400,93.18
2017-02-17,91.870003,92.970001,91.230003,92.739998,1117000,92.739998
2017-02-16,93.940002,94.190002,91.540001,91.849998,1411200,91.849998
2017-02-15,92.440002,94.720001,92.330002,93.970001,1580800,93.970001
2017-02-14,91.68,93.300003,91.349998,92.889999,1420100,92.889999
2017-02-13,92.18,92.50,91.50,91.739998,959800,91.739998
2017-02-10,92.580002,92.82,91.699997,92.459999,1647400,92.459999
2017-02-09,90.139999,92.309998,90.010002,92.300003,1818000,92.300003
2017-02-08,89.760002,90.440002,89.389999,90.089996,1886300,90.089996
2017-02-07,90.809998,91.160004,90.349998,90.660004,1641000,90.660004
2017-02-06,89.190002,90.709999,88.629997,90.50,1439600,90.50
2017-02-03,89.18,89.989998,89.120003,89.470001,2454800,89.470001
2017-02-02,89.25,89.839996,88.230003,88.860001,2125400,88.860001
2017-02-01,91.169998,91.169998,89.389999,89.699997,2884200,89.699997
2017-01-31,90.099998,90.669998,88.949997,90.620003,1323200,90.620003
2017-01-30,89.599998,90.330002,88.010002,90.120003,1583900,90.120003
2017-01-27,89.010002,90.50,88.709999,90.089996,1980900,90.089996
2017-01-26,92.010002,92.980003,89.410004,89.480003,4363700,89.480003
2017-01-25,84.910004,86.959999,84.489998,86.360001,2530100,86.360001
2017-01-24,83.860001,84.589996,82.139999,83.970001,1486600,83.970001
2017-01-23,83.839996,83.910004,82.260002,83.25,984200,83.25
2017-01-20,83.120003,84.269997,83.110001,83.400002,1251900,83.400002
2017-01-19,82.959999,83.599998,82.389999,82.699997,1302100,82.699997
2017-01-18,83.010002,84.349998,82.690002,82.849998,1400000,82.849998
2017-01-17,83.080002,83.25,81.290001,81.410004,879900,81.410004
2017-01-13,83.82,84.00,82.629997,83.529999,741000,83.529999
2017-01-12,83.019997,83.760002,80.910004,83.459999,1398000,83.459999
2017-01-11,81.260002,84.900002,81.260002,83.900002,2084700,83.900002
2017-01-10,82.25,82.43,81.139999,81.669998,1268800,81.669998
2017-01-09,81.800003,82.57,81.300003,82.00,1339200,82.00
2017-01-06,79.239998,82.389999,78.900002,82.099998,1686600,82.099998
2017-01-05,78.709999,79.669998,78.339996,79.129997,1559200,79.129997
2017-01-04,76.089996,78.980003,75.889999,78.830002,1997700,78.830002
2017-01-03,75.309998,76.989998,74.629997,75.660004,1101800,75.660004
2016-12-30,75.110001,75.440002,73.660004,74.339996,1051500,74.339996
2016-12-29,75.169998,75.610001,74.199997,74.940002,758200,74.940002
2016-12-28,76.760002,77.050003,75.139999,75.220001,978400,75.220001
2016-12-27,76.010002,77.400002,76.00,76.879997,548700,76.879997
2016-12-23,74.599998,76.07,74.360001,76.019997,606200,76.019997
2016-12-22,76.919998,77.050003,74.169998,74.550003,1365600,74.550003
2016-12-21,78.040001,78.040001,76.029999,77.25,1019000,77.25
2016-12-20,78.099998,78.519997,77.18,78.300003,908000,78.300003
2016-12-19,77.720001,78.080002,77.199997,77.50,974800,77.50
2016-12-16,79.459999,79.879997,77.260002,77.860001,1332900,77.860001
2016-12-15,78.93,80.269997,78.860001,79.43,741500,79.43
2016-12-14,79.620003,79.650002,78.580002,78.949997,1007700,78.949997
2016-12-13,78.690002,80.699997,78.690002,79.389999,858600,79.389999
2016-12-12,78.849998,78.849998,76.760002,77.879997,1677700,77.879997
2016-12-09,80.730003,81.589996,79.220001,79.400002,898900,79.400002
2016-12-08,80.400002,80.779999,79.519997,80.110001,1298900,80.110001
2016-12-07,80.169998,80.169998,78.220001,79.980003,1402400,79.980003
2016-12-06,80.00,80.00,78.470001,79.610001,1646800,79.610001
2016-12-05,77.330002,79.970001,77.260002,79.870003,2166800,79.870003
2016-12-02,72.849998,76.709999,72.800003,76.559998,3088000,76.559998
2016-12-01,83.199997,83.50,76.339996,77.089996,3106000,77.089996
2016-11-30,84.25,84.769997,82.660004,83.150002,1550500,83.150002
2016-11-29,84.849998,85.50,83.269997,83.419998,1545100,83.419998
2016-11-28,87.699997,88.400002,84.559998,84.82,1811900,84.82
2016-11-25,86.910004,88.389999,86.50,87.739998,718800,87.739998
2016-11-23,85.93,87.660004,85.93,87.050003,1350300,87.050003
2016-11-22,86.260002,86.68,85.419998,86.230003,1344100,86.230003
2016-11-21,85.800003,87.00,85.75,86.550003,1504400,86.550003
2016-11-18,87.010002,87.790001,85.50,85.75,1242700,85.75
2016-11-17,85.769997,87.169998,85.510002,86.830002,913000,86.830002
2016-11-16,85.239998,86.029999,84.889999,85.669998,1065000,85.669998
2016-11-15,83.43,86.220001,83.199997,85.620003,1653700,85.620003
2016-11-14,82.889999,83.919998,82.300003,83.269997,1359200,83.269997
2016-11-11,81.809998,82.830002,80.50,82.629997,1852000,82.629997
2016-11-10,85.75,87.699997,82.050003,82.139999,2600900,82.139999
2016-11-09,83.989998,86.050003,83.339996,84.980003,1357300,84.980003
2016-11-08,84.470001,86.00,83.75,85.50,1136100,85.50
2016-11-07,84.769997,85.82,84.389999,85.089996,1409300,85.089996
2016-11-04,84.00,84.769997,83.099998,83.209999,1628900,83.209999
2016-11-03,84.57,85.089996,83.529999,83.879997,1629300,83.879997
2016-11-02,86.019997,86.919998,84.550003,84.589996,1646600,84.589996
2016-11-01,87.449997,87.559998,85.910004,86.889999,2562500,86.889999
2016-10-31,86.129997,88.040001,85.889999,87.910004,2790700,87.910004
2016-10-28,85.209999,87.389999,84.580002,86.120003,3096800,86.120003
2016-10-27,86.82,89.790001,84.559998,84.959999,11092500,84.959999
2016-10-26,79.510002,79.980003,78.610001,78.900002,2180800,78.900002
2016-10-25,81.129997,81.949997,79.410004,79.790001,2116000,79.790001
2016-10-24,80.389999,81.580002,80.160004,81.00,2127600,81.00
2016-10-21,78.449997,80.260002,78.190002,80.059998,1455300,80.059998
2016-10-20,78.709999,79.00,78.190002,78.849998,1560200,78.849998
2016-10-19,79.169998,80.150002,78.160004,78.919998,3480100,78.919998
